Qubit,T1_us,T2_us,Frequency_GHz,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,Readout_length_ns,ID_error_,One,One_pred,RSE
75,210.59367726542183,27.41876049504468,5.006062995804142,0.01318359375,0.017578125,0.0087890625,1300,0.0003099408849346,131.0,188,3249.0
76,126.15643626706438,76.62872699604242,4.837425711457021,0.012451171875,0.01318359375,0.01171875,1300,0.000296906236318,152.0,159,49.0
77,191.24721539496977,109.20729466958076,5.041921132252588,0.04833984375,0.05517578125,0.04150390625,1300,0.0004958174160402,351.0,461,12100.0
78,133.6786487544597,180.2473724002312,4.6434105862237205,0.009521484375,0.0048828125,0.01416015625,1300,0.0001653667435261,178.0,137,1681.0
79,223.00050197114828,75.37183270901383,4.863175305553237,0.010986328125,0.0126953125,0.00927734375,1300,0.000248759359195,165.0,173,64.0
80,201.42753267537776,267.5949613559892,5.031460097391662,0.023193359375,0.0263671875,0.02001953125,1300,0.0002724438550305,309.0,264,2025.0
81,253.1629281657061,314.27513605177444,4.930437743108918,0.04345703125,0.04248046875,0.04443359375,1300,0.0001392633103543,2689.0,439,5062500.0
82,203.69821314734972,202.469938667328,4.893648278016442,0.053466796875,0.0732421875,0.03369140625,1300,0.000786830318642,523.0,506,289.0
83,269.5824058614656,53.78594888862653,4.790690738175367,0.018798828125,0.02099609375,0.0166015625,1300,0.0001643694852557,229.0,248,361.0
84,251.02455018078967,149.58985217696596,4.6796839379561925,0.01318359375,0.017578125,0.0087890625,1300,0.0002978920134326,94.0,198,10816.0
85,240.9810763754665,198.2844205398771,5.1047827209603005,0.0146484375,0.01220703125,0.01708984375,1300,0.0001223333037809,146.0,207,3721.0
86,273.76481476211137,157.48389684046737,4.898822345408286,0.0458984375,0.03955078125,0.05224609375,1300,0.000200293180715,345.0,463,13924.0
87,86.95359497536153,109.75027094327552,4.992115293626403,0.020263671875,0.03271484375,0.0078125,1300,0.0010717883559233,286.0,211,5625.0
88,130.7074112937711,119.62050291825835,5.099372652263765,0.012939453125,0.0166015625,0.00927734375,1300,0.0002746073833793,249.0,164,7225.0
89,232.0633056973334,156.48171775566314,4.95649094483816,0.013427734375,0.01025390625,0.0166015625,1300,0.0001780279370756,173.0,195,484.0
90,199.5416677560692,48.67092793491889,4.9055979484076575,0.0126953125,0.01953125,0.005859375,1300,0.0002866887082309,115.0,181,4356.0
91,157.08397900150948,183.4780159556308,4.914569581068592,0.025634765625,0.0302734375,0.02099609375,1300,0.0043656199240458,290.0,272,324.0
92,251.60247105515649,142.26037336452185,4.912097190465232,0.011474609375,0.005859375,0.01708984375,1300,0.0002218017426541,143.0,184,1681.0
93,208.8064350474501,79.69794854218176,4.964119440375667,0.027099609375,0.0302734375,0.02392578125,1300,0.0004415083262688,198.0,297,9801.0
94,107.6662257157059,109.0572171857484,4.975873734906121,0.027587890625,0.01171875,0.04345703125,1300,0.0004098027095689,301.0,272,841.0
