Unnamed:_0,Qubit,T1_us,T2_us,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,x_sx_error_,P_Value,Zero,One,Quality,abs,abs_pred,RSE
168,84,251.02455018078967,149.58985217696596,0.01318359375,0.017578125,0.0087890625,0.0002978920134326,1.952503749877659e-18,19124,20876,0,1752,555,1432809
169,84,253.9292647490848,135.5386610242583,0.0168,0.0166,0.017,0.0001754853170938,0.275713144064071,20109,19891,1,218,734,266256
170,85,240.9810763754665,198.2844205398771,0.0146484375,0.01220703125,0.01708984375,0.0001223333037809,6.886054798473994e-12,19314,20686,0,1372,687,469225
171,85,222.26952790326504,186.90531956946376,0.0151,0.0152,0.015,0.0001597285491498,0.0375255328698755,20208,19792,1,416,672,65536
172,86,205.64550318426512,147.603533527735,0.0451,0.0504,0.0398,0.0002680353773883,0.0090542222659346,19739,20261,0,522,1640,1249924
173,86,273.76481476211137,157.48389684046737,0.0458984375,0.03955078125,0.05224609375,0.000200293180715,0.1901958355904781,19869,20131,1,262,1807,2387025
174,87,67.87242743223983,12.078109627331566,0.0234999999999999,0.0268,0.0202,0.0020945248522461,1.1580268079929205e-07,20530,19470,0,1060,922,19044
175,87,86.95359497536153,109.75027094327552,0.020263671875,0.03271484375,0.0078125,0.0010717883559233,2.137705154986886e-05,20425,19575,0,850,701,22201
176,88,130.7074112937711,119.62050291825835,0.012939453125,0.0166015625,0.00927734375,0.0002746073833793,1.75295194585841e-06,19522,20478,0,956,555,160801
177,88,219.55885946618872,154.0636843273382,0.0079,0.0082,0.0076,0.000372067281151,0.0323547667443321,19786,20214,1,428,422,36
178,89,344.9164050880771,145.35292426097973,0.0127,0.012,0.0134,0.0001549239102054,5.345120143898421e-05,19596,20404,0,808,599,43681
179,89,232.0633056973334,156.48171775566314,0.013427734375,0.01025390625,0.0166015625,0.0001780279370756,0.5961119307897529,19947,20053,1,106,654,300304
180,90,52.566558044367625,9.677666320232492,0.0060999999999999,0.009,0.0032,0.0002717288865536,0.0059595264701091,20275,19725,0,550,329,48841
181,90,199.5416677560692,48.67092793491889,0.0126953125,0.01953125,0.005859375,0.0002866887082309,8.322195189963955e-08,19464,20536,0,1072,509,316969
182,91,55.801959791466864,135.13819230743906,0.0223999999999999,0.024,0.0208,0.0015431941772761,0.6891565167793516,19960,20040,1,80,905,680625
183,91,157.08397900150948,183.4780159556308,0.025634765625,0.0302734375,0.02099609375,0.0043656199240458,5.8847627420887585e-09,19418,20582,0,1164,979,34225
184,92,251.60247105515649,142.26037336452185,0.011474609375,0.005859375,0.01708984375,0.0002218017426541,0.1336144025377161,19850,20150,1,300,616,99856
185,92,193.147640411648,138.3047912525508,0.0108,0.0044,0.0172,0.0001829243820177,0.4353908751714663,19922,20078,1,156,603,199809
